Rule,Category,Example,Score
EUPUB_RESPECT,Misused terms in EU publications (Gardner),… and all people respect the law.,
,,… laws which ensure the respect of property rights and…,
EUPUB_RESPONSIBLE,Misused terms in EU publications (Gardner),The responsible official should monitor this experiment.,
EUPUB_RETAIN,Misused terms in EU publications (Gardner),If the social partners do not retain the hypothesis…,
EUPUB_SEMESTER_TRIMESTER,Misused terms in EU publications (Gardner),… were given during 2011 and in the first trimester of 2012.,
,,… will submit a proposal during the first semester of 2011.,
EUPUB_SERVICE,Misused terms in EU publications (Gardner),The services of the Commission's Accounting Officer carried out a…,
EUPUB_SHALL,Misused terms in EU publications (Gardner),It shall also include…,
EUPUB_SICKNESS_INSURANCE,Misused terms in EU publications (Gardner),… from an establishment with which the insured person's sickness insurance fund has an agreement.,
EUPUB_SO_CALLED,Misused terms in EU publications (Gardner),The so-called transitional system for the application of VAT…,
EUPUB_SUPPRESS_SUPPRESSION,Misused terms in EU publications (Gardner),… to suppress the fees at the start of 2015.,
,,… where fees were suppressed at the start of 2015.,
,,"Furthermore, the suppression of inpatient fees from 2014…",
,,"If you are suppressing the fees, …",
EUPUB_THIRD_COUNTRY,Misused terms in EU publications (Gardner),The standard values for imports from a third country are…,
EUPUB_TRAINING,Misused terms in EU publications (Gardner),… ICT (including for the purpose of a training).,
,,… ICT (including for the purpose of trainings).,
EUPUB_TRANSMIT,Misused terms in EU publications (Gardner),When the Court transmits its draft report…,
EUPUB_TRANSPOSE_TRANSPOSITION,Misused terms in EU publications (Gardner),… which transpose Chapter 3 of Title XI of Directive 2006/112/EC.,
,,The transposition of Chapter 3 of Title XI of Directive 2006/112/EC…,
EUPUB_TRANSVERSE_TRANSVERSAL,Misused terms in EU publications (Gardner),Conclusions of the Council on a transversal approach to youth policy.,
,,The activities are transverse and apply to all…,
EUPUB_TRAVEL,Misused terms in EU publications (Gardner),The consent form for travels in and out of the Schengen area…,
EUPUB_TREATMENT,Misused terms in EU publications (Gardner),The significant efforts undertaken in data treatment and methodological developments…,
EUPUB_VALORISE_VALORIZE,Misused terms in EU publications (Gardner),The work of the Agency was valorised for both the public and the private sectors.,
EUPUB_VERIFICATIONS,Misused terms in EU publications (Gardner),To increase the effectiveness of its on-the-spot verifications of the Member States' statistical reports…,
EUPUB_VISA,Misused terms in EU publications (Gardner),"The centralised ex-ante visa performed by the Financial Controller, …",
EVER_SO_OFTEN,Nonstandard Phrases,"Ever so often, we put down the books, and go sailing!",
EVERY_EACH_SINGULAR,Grammar,The manager wants to speak to every employees in his office.,50
EVERY_NOW_AND_THEN,Redundant Phrases,Every now and then the faucet drips.,
EVERY_SINCE,Possible Typo,"And every since the war, the people have gone to bed at eleven.",80
EVERY_WHERE,Possible Typo,There are bugs every where.,80
EVERYDAY_EVERY_DAY,Commonly Confused Words,Everyday he gets up early.,
,,"Everyday, he gets up early.",
,,He gets up early everyday.,
EVERYONE_EVERY_ONE,Commonly Confused Words,The space in which each and everyone of us lives has taken on a new shape.,
EXACT_REPLICA,Redundant Phrases,We created an exact replica of the building.,
EXACT_SAME,Redundant Phrases,This is the exact same situation.,
,,This shoe is exactly the same.,
EXCEPTION_OF_TO,Collocations,I'll make an exception to you.,
,,This is an exception of the guidelines.,
EXCEPTION_PREPOSITION_THE_RULE,Grammar,Graphite is an exception of the rule.,50
EXITED_EXCITED,Possible Typo,She is really exited about it.,80
EXPLAIN_TO,Grammar,She explained me the results in detail.,50
EXTEND_EXENT,Commonly Confused Words,It is not known to what extend the subjects were being truthful.,
,,Shoplifters will be prosecuted to the fullest extend of the law.,
,,"To a great extend, psychological explanations prove satisfactory.",
EYE_BROW,Possible Typo,Calcium deposits on eye lids,80
FACE_FIRST,Punctuation Errors,I crashed face first into the snow.,
FAIRED_AS_WELL,Possible Typo,He faired as well as could be expected.,80
FAIRED_BADLY,Possible Typo,It was a pity that the Jets faired badly.,80
FAMOUS_CELEBRITY,Redundant Phrases,I'm told that he's a famous celebrity now.,
FAR_BE_IT_FOR_ME,Nonstandard Phrases,Far be it for me to say that you can’t.,
FAR_OF_FROM,Collocations,It is not very far of my job.,
FED_UP_OF_WITH,Collocations,The people are fed up of so many pointless elections.,
FEEL_TREE_TO,Possible Typo,Feel tree to add it to the list.,80
FELLOW_CLASSMATE,Redundant Phrases,I would enjoy a reunion with my fellow classmates.,
FEMALE_ACTOR,Redundant Phrases,She was the first female actor.,
FEMALE_WAITER,Redundant Phrases,She was the first female waiter.,
FEW_IN_NUMBER,Redundant Phrases,"They were few in number, but mighty.",
FEW_OCCASIONS,Redundant Phrases,The man drank on a few occasions.,
FEWER_LESS,Grammar,He has less items,50
,,Ten items or less,
FEWER_UNCOUNTABLE,Possible Typo,He gave his enemies fewer information than he gave his friends.,80
FIGURE_HEAD,Possible Typo,The boss was merely a figure head.,80
FILED_WITH,Possible Typo,The gallery was filed with friends and family.,80
FILL_OF_WITH,Collocations,Fill the page of numbers.,
FIRST_AID_KIT,Commonly Confused Words,"A first aid kid is a collection of medical supplies and equipment, often portable.",
FIRST_MAN_NOUN,Redundant Phrases,He was the first man employee of the company.,
FIRST_SERVED,Grammar,"First come, first serve.",50
FIRST_TIME_EVER,Redundant Phrases,We have a pig in space for the first time ever.,
FIRST_WOMAN_NOUN,Redundant Phrases,She was the first woman president.,
FLAG_SHIP,Possible Typo,This was the flag ship store.,80
FLASHPOINT,Possible Typo,The flashpoint of lead is very high.,80
FOLLOW_A_COURSE,Collocations,There is classes were students can follow their courses.,
FOOT_FEET,Grammar,I had a shoe on one feet.,50
FOR_ALL_INTENSIVE_PURPOSES,Commonly Confused Words,"Well, not all of it, but for all intensive purposes, I read it.",
FOR_ALL_INTENTS_AND_PURPOSES,Plain English,"The era in which we must aggressively defend our woodlands has, for all intents and purposes, passed.",
FOR_ALONG_TIME,Possible Typo,I have been interested in Wicca for along time.,80
FOR_AWHILE,Possible Typo,I haven't posted in awhile.,80
,,I haven't posted in quite awhile.,
FOR_FRO,Possible Typo,I got a voicemail fro Ken.,80
FOR_ITS_NN,Possible Typo,No one had any remedies for it's crazy rantings.,80
FOR_NOUN_SAKE,Punctuation Errors,For heavens sake!,
FOR_SELL,Commonly Confused Words,Current Michigan homes for sell,
FOR_THE_MOST_PART,Plain English,For the most part people's suspicions are based on a misunderstanding of the facts.,
FOR_THE_PURPOSE_OF,Plain English,Commercial shows are one-off projects put on for the purpose of making money.,
FOR_TIME_TO_TIME,Possible Typo,He buys a car for time to time.,80
FORE_DPS,Possible Typo,Thanks again fore your help.,80
FOREIGN_IMPORT,Redundant Phrases,"The rise in foreign imports, the argument goes, is forcing some Americans to accept lower pay to remain competitive with, say, Mexican and Chinese workers.",
FOREVER_AND_EVER,Redundant Phrases,"It is you and me, forever and ever.",
FORMALLY_KNOWN_AS,Commonly Confused Words,The artist formally known as Prince,
FORMER_ALUMNUS,Redundant Phrases,"As the wife of a former alumnus of UCLA, I am appalled at recent events that have occurred and seemingly encouraged by the administration.",
,,The former alumnus adviser of Alpha Lambda Chapter was elected as congressman-at- large in Ohio.,
FORMER_GRADUATE,Redundant Phrases,I am a former graduate of the school.,
FORTH_PLACE,Possible Typo,The runner finished in forth place.,80
FOWL_SWOOP,Possible Typo,He completed the symphony in one fowl swoop.,80
FRAME,Misused terms in EU publications (Gardner),"If the analysis is performed in the frame of a contamination incident, …",
FREE_GIFT,Redundant Phrases,Receive a free gift with every purchase.,
FREE_LANCE,Possible Typo,We did some free lance work for the company.,80
FREE_LANCER,Possible Typo,He was a free lancer.,80
FREE_LANCES,Possible Typo,He only free lances for the CIA.,80
FREE_LANCING,Possible Typo,His free lancing work is fantastic.,80
FREE_REIGN,Possible Typo,The famous actor was given free reign over the city.,80
FROM_FORM,Possible Typo,Do not duplicate or redistribute in any from.,80
,,Fill in this from.,
,,I got a letter form my friend.,
,,Type in the from on the web page.,
FROM_THAN_ON,Commonly Confused Words,"From than on I entered a period of dullness, nothing bothered me anymore.",
FROM_WHENCE,Redundant Phrases,Go back from whence you came.,
FROM_X_Y,Nonstandard Phrases,From 12 – 17 February 2016,
FULL_COMPLIMENT_OF,Possible Typo,He had the full compliment of good qualities.,80
FULL_WITH_OF,Collocations,The washing machine is full with dishes.,
FURTHER_ADIEU,Commonly Confused Words,Without further adieu,
GARDENERGARDEN_SNAKE,Possible Typo,We found a tiny gardener snake in the bushes.,80
GAVE_GIVE,Grammar,The updates do gave the correct date.,50
GENERAL_XX,Redundant Phrases,We should show this to the general public.,
GESTURE_OF_GREETING,Collocations,She made me a gesture of greeting.,
GET_A_JOB_IN_WITH,Collocations,The text is also a very important things for the people who want to get a job in the SPVM.,
GIVE_ADVISE,Commonly Confused Words,Any advise is welcome!,
,,I must advice you to go.,
,,"Please give me advise, I don't know what to do.",
,,What was the best piece of advise that you ever got?,
GLAD_WITH_ABOUT,Collocations,He's glad with it.,
GO_GERUNG,Collocations,Do you do jogging?,
GO_TO_HOME,Collocations,Suzie went to home.,
GOING_ONE,Possible Typo,She knew what was going one.,80
GOING_TO_VACATION,Collocations,She is going to vacation.,
GOING_TO_VBD,Grammar,I'm going to wrote him.,50
GOOD_IN_AT,Collocations,I'm good in computer science.,
,,I'm good in home economics.,
,,I'm good in language arts.,
,,I'm good in math. I was good in running errands.,
,,I'm good in physical education.,
,,I'm good in social studies.,
,,I'm good in world geography.,
GOOD_IN_AT_GERUND,Collocations,He is good in swimming.,
GOOD_NEWS,Possible Typo,The bad new is that it doesn't work.,80
GOT_SHUTDOWN,Possible Typo,"Before he could get assigned to it, the project got shutdown.",80
GOT_SHUTOUT,Possible Typo,The Mets got shutout by the Phillies.,80
GOVERNMENT_COMPRISED_OF,Possible Typo,Theirs was a government comprised of warring factions.,80
GRADUATE_FROM,Grammar,He graduated the university last June.,50
,,She will graduate high school next month.,
GRASPING_FOR_STRAWS,Possible Typo,"At that point, the desperate gentleman was simply grasping for straws.",80
GRILL_CHEESE,Possible Typo,The kid only wanted to eat grill cheese sandwiches.,80
GROWLED_TO_AT,Collocations,Dr. Dre growled to him about the snow.,
GUARD_FROM_AGAINST,Collocations,The dog guards from the thieves.,
GUEST_STARED,Possible Typo,Alan Alda never guest stared in another episode.,80
GUILTY_FOR_OF,Collocations,Mark is guilty for laziness.,
HAD_OF,Possible Typo,I had of bought this house.,80
HAD_VBP,Grammar,They had play the game,50
HAIRS,Possible Typo,She cut her hairs yesterday.,80
HALO_HALLO,Possible Typo,Halo John!,80
HAND_AND_HAND,Possible Typo,The ability to talk forever goes hand and hand with being a Brown student.,80
HAPPEN_TO,Grammar,What happened with him?,50
HARDLY_NEVER,Possible Typo,She hardly never takes the subway.,80
HARRISON_FORD,Possible Typo,Harison Ford is famous for playing Indiana Jones.,80
HART_HARD,Possible Typo,She had a hart time there.,80
HART_HEART,Possible Typo,She had a hart attack.,80
HASH_SYMBOL,Wikipedia,The #3,
HASNT_IRREGULAR_VERB,Possible Typo,They haven't bit their tongue.,80
HAVE_A_BREAKFAST,Grammar,Ray and Helen have invited us out to a dinner in the hotel restaurant.,50
,,Ray and Helen went with us for a dinner in the hotel restaurant.,
,,We had a breakfast in the hotel restaurant.,
HAVE_A_TENDENCY,Plain English,This policy has a tendency to isolate some communities.,
HAVE_CD_YEARS,Collocations,He has 25 years old.,
HAVE_HAVING,Grammar,I have having lunch.,50
HAVE_PART_AGREEMENT,Grammar,Have you like her?,50
,,Have you went to Italy?,
,,I could have went to Italy.,
,,I have like her.,
,,I have not always wrote that.,
,,I must have always wrote that.,
,,I must have wrote that.,
,,What have you did?,
,,Where have you went?,
HAVE_THE_ABILITY_TO,Plain English,The toddle has the ability to walk.,
HAY_DAY,Possible Typo,He was never as good as he was in his hay day.,80
HE_THE,Possible Typo,"At he beginning, I was afraid.",80
HE_VERB_AGR,Grammar,Ann walk to the building.,50
,,Have Mary bought a ticket?,
,,Have she bought a ticket?,
,,He always walk to the building.,
,,He don't like fish.,
,,He walk to the building every day.,
,,She recommended he walking to the building.,
,,She recommended that he walking to the building.,
,,Someone else always walk to the building.,
,,Someone else walk to the building.,
,,When have he bought a ticket?,
,,When have Mary bought a ticket?,
HEAD_GEAR,Possible Typo,She wore head gear.,80
HEAD_QUARTERS,Possible Typo,He found the secret head quarters.,80
HEAD_SCARF,Possible Typo,France had a ban on the head scarf.,80
HEAD_SCARVES,Possible Typo,France had a ban on head scarves.,80
HEAD_STONE,Possible Typo,They wrote the words on his head stone.,80
HEAD_WEAR,Possible Typo,The Mets cap was his favorite head wear.,80
HEAR_HERE,Commonly Confused Words,Hear is an entertainment fit for giants.,
HEAVY_WEIGHT,Possible Typo,He is the best heavy weight boxer in the world.,80
HELL,Possible Typo,And hell be there.,80
,,Hell be there.,
,,Shell be there.,
HELP_TO_FIND,Grammar,Can any guru help me to find the reason?,50
HERE_HEAR,Commonly Confused Words,Glad to here that!,
,,I can almost here you crying.,
,,I can here you!,
,,I hope to here from you soon.,
,,If you don't here from me in a day...,
HEW_AND_CRY,Possible Typo,There was a massive hew and cry after the beating.,80
HIDE_OF_FROM,Collocations,This is very useful to hide of prying tourists.,
HISTORIC_RECORD,Possible Typo,The policy was strictly a matter of historic record.,80
HIT_THE_BREAKS,Possible Typo,Charlie forgot to hit the breaks.,80
HIV_VIRUS,Redundant Phrases,The HIV virus continues to spread.,
HOLLOW_TUBE,Redundant Phrases,We fixed the hollow tube.,
HONEST_TRUTH,Redundant Phrases,That is the honest truth of the matter.,
HOPEFULLY,Style,"Hopefully, this will be a great grammar checker.",
HOUR_OUR,Possible Typo,It happened half an our ago.,80
HOW_EVER,Possible Typo,"We knew, how ever, that he would come around.",80
HUMANS_BEINGS,Possible Typo,We are all human's beings.,80
,,We are all humans beings.,
I_A,Possible Typo,I a not sure.,80
I_AFRAID,Grammar,He afraid of the dark.,50
,,I afraid of the dark.,
,,I don't afraid of the dark.,
,,I'm afraid eat spiders.,
,,I'm afraid spiders.,
,,I'm afraid the rain.,
,,She doesn't afraid of the dark.,
,,You afraid of the dark.,
,,You don't afraid of the dark.,
I_AM,Grammar,I looking into the problem.,50
I_AM_NOTE_SURE,Possible Typo,I'm note sure.,80
I_AM_WORRY,Possible Typo,I am worry about her.,80
I_HERD,Commonly Confused Words,I herd of a new song by Madonna.,
I_IF,Possible Typo,"I the data confirm my theory, I will be famous.",80
I_ILL,Possible Typo,It seems that I ill have to celebrate at home.,80
I_LIFE,Grammar,I life in Moscow.,50
I_LOWERCASE,Possible Typo,"No, i am not letting you near my kids.",80
,,"No, i'm not letting you near my kids.",
I_MOVING,Grammar,We regularly moving a conversation from the forum to email.,50
I_NEVER_HAVE_BEEN,Nonstandard Phrases,I never have been to London.,
I_NEW,Commonly Confused Words,"Ah, I new you would say that.",
I_THIN,Possible Typo,I thin you are right.,80
I_VE_A,Nonstandard Phrases,I've a new car.,
,,I've three new cars.,
I_WANDER_IF,Commonly Confused Words,I wander if I'm studying enough?,
ID_WOULD,Possible Typo,He'd would want to wake up early.,80
IE_NO_COMMA,Punctuation Errors,"Who's responsible for providing public facilities, i.e. a post office, library, etc. for the Northwest?",
,,"Who's responsible for providing public facilities, ie a post office, library, etc. for the Northwest?",
,,"Who's responsible for providing public facilities, ie. a post office, library, etc. for the Northwest?",
IF_IS,Possible Typo,I wonder if the context if actually important.,80
,,"The rules are testes, which if quite fast.",
IF_OR_NOT,Grammar,It's not certain whether communication with the site's customer service has led it to be clear if or not this is true.,50
IF_THERE,Grammar,"The workers have also threatened that if there demands are not met, they will go on strike again.",50
IF_WHICH,Possible Typo,We cannot know if which functionality gets tested.,80
IF_WOULD_HAVE_VBN,Grammar,"If I would have known about the party, I would have gone to it.",50
ILL_I_LL,Possible Typo,Ill explain!,80
IM_AM,Possible Typo,I'm am a madman.,80
IMITATION_FROM_OF,Collocations,Children imitate every habit and behavior from their parents.,
IMMINENT_DOMAIN,Possible Typo,Their house was claimed due to imminent domain.,80
IMPORTANT_WITH_TO,Collocations,Family who is closest and important with you.,
IN_1990s,Grammar,It happened in 1990's.,50
,,It happened in 1990s.,
IN_A_ISLAND,Collocations,Our house is located in a small island surrounded by ices. There are no other houses around us.,
IN_A_MANNER_OF_SPEAKING,Plain English,"The policy has, in a manner of speaking, begun to Balkanize the more rural parts of our state.",
IN_A_VERY_REAL_SENSE,Plain English,"In a very real sense, this policy works to the detriment of those it is supposed to help.",
IN_A_X_MANNER,Redundant Phrases,He came in a hasty manner.,
IN_ALONG_TIME,Possible Typo,I haven't had a shower in along time.,80
IN_ANYWAY,Possible Typo,"Make sure you get the plans, in anyway possible.",80
IN_AT_A_PARTY,Collocations,"Later, I started working as a Research Assistant in university projects again, where I met her in a party.",
IN_AT_THE_MORNING,Collocations,I hardly ever drinks coffee at the morning because this make me crazy.,
IN_AT_THE_TOP,Collocations,The button is in the top of the screen.,
IN_CHARGE_FOR,Collocations,charge for.,
,,Who is in charge for this shop?,
IN_CHARGE_OF_FROM,Collocations,Wood in exchange of metal.,
IN_EDITION_TO,Possible Typo,"In edition to failing, he embarrassed himself.",80
in_excess_of,Plain English,Her three albums have sold in excess of 17 million copies worldwide,
IN_FACEBOOK,Collocations,Check it in Wikipedia.,
IN_FROM_THE_PERSPECTIVE,Collocations,In the psychological perspective.,
IN_FRONT_OF,Collocations,"In front to so many decisions, the people are fed up.",
IN_JANUARY,Possible Typo,"In February 21, we ate the poison.",80
IN_LAWS,Possible Typo,How many brother-in-laws do you have?,80
,,How many brothers-in-laws do you have?,
IN_MASSE,Commonly Confused Words,HP Already Shipping Linux in Masse,
IN_MY_OPINION,Plain English,"In my opinion, this wasteful policy ought to be revoked.",
IN_NOWADAYS,Collocations,"In nowadays, many organizations are jumping in the social websites bandwagon.",
IN_ON_A_SECRET_MISSION,Collocations,Bond is in a secret mission.,
IN_ON_A_TEAM,Collocations,I’m the one Frank Catania need in his team.,
IN_ON_A_TRIP,Collocations,"It was is in his trip, that he met her.",
IN_ON_AN_ALBUM,Collocations,Listen to that in the album.,
IN_ON_BIRTHDAY,Collocations,"My favorite thing is bag, I love my bag very much because it is a gift from my girl friend in my birthday, it is a red bag, I have kept it for 2 years and forever.",
IN_ON_THE_FOOT,Collocations,He is wearing a crocs in my feet.,
IN_ON_THE_RIGHT_HAND_SIDE,Collocations,The button is in the left hand side of the screen.,
IN_ON_THE_TEAM,Collocations,in the men's basket ball team.,
,,in the men's basketball team.,
,,in the men's team.,
IN_ON_VACATION,Commonly Confused Words,He is probably in vacation right now.,
IN_ON_WEEKDAY,Commonly Confused Words,"In Friday afternoon, the President announced the embargo.",
IN_OR_WITH_REGARDS_TO_OF,Nonstandard Phrases,Please be aware of the following changes in regards to this program.,
IN_ORDER_TO,Redundant Phrases,We opened the door in order to enter.,
IN_PARENTHESIS,Possible Typo,This is indicated by the number not in parenthesis.,80
IN_PAST,Grammar,Something happened in past.,50
IN_PRINCIPAL,Commonly Confused Words,Always stick to your principals.,
,,He told me it's against his principals to drink alcohol.,
,,In principal I don't think it will be too difficult.,
,,In this discussion we have endeavored to do this: to point out basic principals of liberty in which all people can believe.,
,,Mr Brown is our new school principle.,
,,"The principle activity of the Foundation is centred on humanitarian aid and charity, especially with regards to children.",
IN_PRP_THEN_IN_PRP,Possible Typo,I'd rather be between him then between she.,80
IN_STEAD_OF,Possible Typo,Can my car really use water in stead of gas?,80
IN_TACT,Possible Typo,Outdoor Activities in Louisiana Remain In Tact,80
IN_TERM_OF,Plain English,Femininity is still defined in term of beauty.,
IN_TERMS_OF,Plain English,Disclaimers vary in terms of their uniformity.,
IN_THE_AFFIRMATIVE,Plain English,"The poll asked average Israelis if they support such a program, and 82 percent responded in the affirmative.",
IN_THE_CASE_OF,Plain English,"In the case of this particular policy, citizens of northeast Connecticut became very upset.",
IN_THE_EVENT,Plain English,"In the event that I can't come back by seven, you can eat without me.",
IN_THE_FINAL_ANALYSIS,Plain English,"In the final analysis, it is their war.",
IN_THE_INTERNET,Collocations,Land reclamation is in the internet.,
IN_THE_MOMENT,Nonstandard Phrases,"No, in the moment not.",
IN_THE_NATURE_OF,Plain English,Something in the nature of a repeal may soon take place.,
IN_THE_NEIGHBORHOOD_OF,Plain English,They searched for the keys in the neighborhood of the playground.,
IN_THE_OUTSIDE,Collocations,There are white windows in the outside of the house.,
IN_THE_PASSED,Commonly Confused Words,We succeeded in the passed.,
IN_THE_PROCESS_OF,Plain English,The work is in the process of getting done.,
IN_THE_SKIES,Commonly Confused Words,It was a blessing in the skies that my car broke down.,
IN_THIS_MOMENT,Collocations,In this moment she woke up.,
IN_TITLED,Possible Typo,The children felt in titled to their expensive education.,80
IN_TO_INTO,Possible Typo,It is split in to two sections.,80
IN_VBZ_THEYRE_NN,Possible Typo,The only thing we think of is they're happiness.,80
IN_VEIN,Commonly Confused Words,I have been looking in vein 30 plus years with no luck.,
IN_WHO,Grammar,To who do I send my transcripts?,50
,,Who was with who?,
IN_X_ORDER,Nonstandard Phrases,List the names in an alphabetical order.,
IN_YOU_RE_NN,Commonly Confused Words,There are a number of things you can do to reduce the risk to you’re pet.,
INCASE_OF,Possible Typo,"Always keep a baseball bat by the bed, incase of an emergency.",80
INCORRECT_POSSESSIVE_FORM_AFTER_A_NUMBER,Grammar,"At the time, Guider was working just two day's drive from Narooma, in a Canberra suburb.",50
INDEPENDENTLY_FROM_OF,Collocations,"Independently from our relationship, you are not the best, nor most the brightest.",
INSIST_ON_GERUND,Collocations,She insisted to attend the conference.,
INSPIRED_WITH,Grammar,The artist was inspired with the beauty of the mountains.,50
INSURE_THAT,Commonly Confused Words,Please insure that you are registered with us.,
INTEREST_ABOUT_IN,Collocations,"They are more interest about the money, like how it's manage.",
INTEREST_FOR_IN,Collocations,I have an interest for the sea.,
INTERESTED_BY,Collocations,I am not interested by this job.,
INTERJECTIONS_PUNCTUATION,Punctuation Errors,Oh horrid examples...,
,,Oh John what a horrid example...,
INTRODUCE_FOR_THE_FIRST_TIME,Redundant Phrases,We were introduced for the first time a week ago.,
INVALID_DATE,Semantic,"It happened on Feb 30, 2014.",
,,"It happened on November 31, 2014.",
,,"January 10 – 1, 2016.",
,,"January, 10 – 1, 2016.",
INVOICE_OF_FOR,Collocations,We booked for 8 tickets but we only received an invoice of 7 tickets.,
IRREGARDLESS,Style,"Irregardless of what he says, do it!",
IS_CAUSE_BY,Grammar,This is cause by a bug.,50
IS_COMPRISED_MOSTLY_OF,Possible Typo,The government is comprised mostly of idiots.,80
IS_COMPRISED_OF,Possible Typo,The government is comprised of idiots.,80
IS_CONTAINED_OF,Possible Typo,The beer is contained of hops and water.,80
IS_EVEN_WORST,Grammar,He was even nicest after a year.,50
IS_RENOWN_FOR,Possible Typo,Brown is renown for its annoying undergraduates.,80
IS_SHOULD,Possible Typo,I definitely think is should be less than four years.,80
IS_WERE,Possible Typo,"Now, this is were my ignorance sets in.",80
IT_IS,Possible Typo,"Alongside it's coast, there were boats.",80
,,Amid it's wonderful moments of humor...,
,,And its had a mention at the Labour Party Conference this morning.,
,,And its so hard to beat him.,
,,Don't judge a book by it's cover.,
,,"Due to it's nature, a cat cannot fly.",
,,"For all it's perfection, I could not really like it.",
,,For all it's wonderful moments of humor...,
,,Help is on it's way.,
,,I can see it's eyes.,
,,I can’t remember it’s name.,
,,I have decided that its time to leave.,
,,I would still consider assembling it from all it's basic components.,
,,It does this by providing it's own open source based products.,
,,It's door is too small.,
,,Its going to be sunny tomorrow.,
,,Its hard to explain.,
,,Its his uncle.,
,,Its OK.,
,,Its removing the errors.,
,,Its where people walk around.,
,,Kentucky State University formally installs Brown as it's 18th president,
,,Linux at it's best,
,,New Robot Reproduces on It's Own.,
,,No one has ever seen it's eyes.,
,,"RDF can also be used to express metaproperties of a thesaurus, such as it's title.",
,,"Sorry, but its too late.",
,,This is an opportunity to see how SAP addresses it's internal developers.,
,,This lovely and interesting area with it's friendly people will make a welcoming break,
,,We could borrow it's approach.,
,,When some of it's clauses match.,
,,"Yes, its that simple.",
IT_IS_JJ_TO_VBG,Grammar,They think that it is not easy to grasping skills.,50
IT_IS_NO,Possible Typo,It is no possible.,80
,,It's no possible.,
IT_IS_SURE,Collocations,It is sure that my English will improve.,
IT_SEAMS,Commonly Confused Words,"Being vegan easier than it seams, experts say.",
,,"Being vegan easier than it's seems, experts say.",
IT_SEEMS_OR_APPEARS_THAT,Plain English,It seems that they can't wait to get rid of this one.,
IT_SELF,Possible Typo,I believe that such advertisements indicate a clear statement about the issue it self and they clarify the main cause of the problem.,80
IT_VBZ,Grammar,It support transparency.,50
ITS_IS,Possible Typo,She's is the best dancer on the west coast.,80
ITS_JJ_NNSNN,Possible Typo,I appreciated it's odorless handshake by the fifth time.,80
ITS_JJS_NN,Possible Typo,"For the painting, it's reddest area was in the upper left.",80
IVE_HAVE,Possible Typo,I've have no problem taking the first watch.,80
JEALOUS_FROM_OF,Collocations,Jane might be jealous from my car.,
JIMMY_BUFFET,Possible Typo,Jimmy Buffet sang at the Arco Arena.,80
JIMMY_HENDRIX,Possible Typo,Some argue that Jimmy Hendrix was the best guitarist who ever lived.,80
JIVE_WITH,Possible Typo,That doesn't jive with my mental outlook.,80
JJS_OF_ALL_OTHER,Grammar,Bill is the tallest of all other boys.,50
,,He is the most important of all other players.,
KEY_NOTE,Possible Typo,The key note speaker was Bill Gates.,80
KEY_WORDS,Possible Typo,You have to enter the key words.,80
KIND_OF_A,Grammar,What kind of a man is Bush?,50
KIND_WITH_TO,Collocations,All the people he met were very kind with him.,
KNEW_NEW,Commonly Confused Words,This is very knew to me.,
KNOT_NOT,Grammar,She does knot know everything.,50
KNOW_NOW,Commonly Confused Words,And know he is leaving.,
,,"From know on, he is the “Big Kahuna”.",
,,Girls wanting to meet you right know!,
,,I can know say something more.,
,,My mom used to make a hell of a burrito every know and then.,
,,Thanks for letting us now.,
LAID_AHEAD,Possible Typo,We never knew what laid ahead.,80
LAND_LOVER,Possible Typo,The sailors considered John to be a serious land lover.,80
LARGE_NUMBER_OF,Redundant Phrases,A large number of people were in the parade.,
LAST_BUT_NOT_LAST,Possible Typo,"Last but not last, I accentuate difficulties that such theories face.",80
LAUGH_OF_AT,Collocations,I laughed of him.,
LAUGHING_STOCK,Possible Typo,The fool was the laughing stock of the town.,80
LAWSUIT,Commonly Confused Words,The plaintiff brought a law suit against the defendant,
LAY_AROUND,Possible Typo,All he did Sunday was lay around the house.,80
LAYING_AROUND,Possible Typo,He had a special talent for laying low.,80
LAYS_ATOP,Possible Typo,The text explains how important it is that the chicken lays on the noodles artfully.,80
LCD_DISPLAY,Redundant Phrases,The result is printed on this LCD display.,
LEAD_ROLL,Possible Typo,She accepted the lead roll in the prestigious play.,80
LEARN_NNNNS_ON_DO,Grammar,We can learn ways on manage complex relationships with colleagues.,50
LEAST_COMPARATIVE,Grammar,This is the least harder task.,50
LEAVE_TO_FOR,Collocations,They are leaving to England soon.,
LESS_COMPARATIVE,Grammar,This is less harder.,50
LESS_DOLLARSMINUTESHOURS,Possible Typo,There were less hours to devote to work that day.,80
LESS_MORE_THEN,Commonly Confused Words,It's less controversial then one would think.,
LET_OBJECT,Grammar,Let she do it!,50
LETS_DONT,Grammar,Let's don't go there.,50
LETS_LET,Possible Typo,It let's you quickly search for the product.,80
,,Lets go home.,
,,The system let's all students enter the building.,
LIFE_TIME,Possible Typo,"In his life time, there will be many medical advances.",80
LIGHT_WEIGHT,Possible Typo,He is the best light weight boxer in the world.,80
LIGHTYEAR,Semantic,It all seems light-years ago now.,
LING,Possible Typo,See you all there - this is ling overdue.,80
LISTEN_TO_MOVIES,Collocations,"During my free time, I like listen to movie with my boyfriend and my friends.",
,,"During my free time, I like listen to movies in cinema with my boyfriend and my friends.",
,,"During the week, I listen to action movie in English because I want to improve myself with my sister.",
LITTLE_BIT,Redundant Phrases,He was a little bit late.,
